iter	Passed	Remaining
627	21629	12812
628	21659	12775
629	21683	12734
630	21707	12694
631	21733	12654
632	21756	12614
633	21779	12573
634	21807	12534
635	21834	12496
636	21861	12458
637	21886	12418
638	21912	12379
639	21938	12340
640	21965	12302
641	21996	12265
642	22021	12226
643	22043	12185
644	22070	12147
645	22093	12106
646	22117	12067
647	22140	12026
648	22167	11988
649	22191	11949
650	22214	11909
651	22239	11869
652	22263	11830
653	22289	11792
654	22314	11753
655	22336	11712
656	22363	11675
657	22394	11639
658	22420	11601
659	22456	11568
660	22482	11530
661	22511	11493
662	22538	11456
663	22565	11418
664	22592	11381
665	22618	11343
666	22643	11304
667	22669	11266
668	22696	11229
669	22737	11198
670	22762	11160
671	22791	11124
672	22819	11087
673	22846	11050
674	22872	11012
675	22897	10974
676	22930	10940
677	22954	10901
678	22979	10863
679	23001	10824
680	23030	10787
681	23055	10750
682	23077	10710
683	23100	10672
684	23132	10637
685	23158	10600
686	23183	10562
687	23209	10525
688	23242	10491
689	23267	10453
690	23293	10416
691	23321	10379
692	23350	10344
693	23374	10306
694	23398	10268
695	23425	10231
696	23452	10195
697	23474	10156
698	23497	10118
699	23519	10079
700	23545	10042
701	23570	10005
702	23601	9971
703	23627	9934
704	23652	9897
705	23679	9860
706	23705	9824
707	23733	9788
708	23761	9752
709	23784	9714
710	23810	9678
711	23838	9642
712	23866	9606
713	23893	9570
714	23920	9534
715	23947	9498
716	23967	9460
717	23996	9425
718	24022	9388
719	24047	9351
720	24074	9315
721	24101	9280
722	24126	9243
723	24151	9206
724	24176	9170
725	24202	9134
726	24227	9097
727	24253	9061
728	24282	9026
729	24303	8988
730	24328	8952
731	24351	8915
732	24377	8879
733	24408	8845
734	24433	8809
735	24461	8774
736	24487	8738
737	24509	8701
738	24535	8665
739	24561	8629
740	24589	8594
741	24612	8558
742	24638	8522
743	24661	8485
744	24689	8450
745	24716	8415
746	24745	8381
747	24772	8345
748	24810	8314
749	24835	8278
750	24860	8242
751	24889	8208
752	24918	8173
753	25002	8157
754	25068	8134
755	25093	8098
756	25125	8065
757	25150	8029
758	25178	7994
759	25212	7961
760	25249	7930
761	25277	7895
762	25306	7860
763	25342	7828
764	25375	7795
765	25422	7766
766	25451	7731
767	25472	7694
768	25496	7658
769	25523	7623
770	25549	7588
771	25572	7552
772	25597	7517
773	25622	7481
774	25646	7445
775	25670	7410
776	25693	7373
777	25719	7339
